resto_name,address,area,opening_hours,closing_hours,start_price,end_price,average_price,rating,type
Holland Bakery Mampang Baru,"Jl. Mampang Prpt. Raya No.3 3, RT.3/RW.5, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790",Jakarta Selatan,07.00,23.00,10000,100000,55000,4.5,Bakery
Paul Pacific Place,"Pacific Place Mall, Lantai Ground, South Lobby Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",Jakarta Selatan,06.30,22.00,100000,200000,150000,4.5,Bakery
La Joie Bakery Cafe,"Ruko Plaza 5 Bl. C, Jl. Margaguna Raya no 7 - 9, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310",Jakarta Selatan,09.00,21.00,50000,100000,75000,4.6,Bakery
Ann's Bakehouse & Creamery Sambas,"Jl. Sungai Sambas 3 No.12, RT.8/RW.5, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,08.00,21.00,100000,200000,150000,4.5,Bakery
Barley Bakery & Cake,"Jl. Raya Cilandak KKO No.47, RT.6/RW.5, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",Jakarta Selatan,09.00,20.00,50000,100000,75000,4.9,Bakery
Seven Grain (7G) Mampang,"Ruko Fancy Mampang, Jl. Mampang Prpt. Raya No.151, RT.3/RW.1, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",Jakarta Selatan,08.00,22.00,50000,100000,75000,4.5,Bakery
Okky Bakery,"Jl. Guntur No.40, RT.8/RW.1, Guntur, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12980",Jakarta Selatan,07.00,19.00,50000,100000,75000,4.4,Bakery
Toko Kue Vivi,"Jl. Barito II No.29 A 2, RT.2/RW.5, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,06.30,17.00,50000,100000,75000,4.4,Bakery
Majestyk Bakery & Cake Shop,"Jl. Dr. Saharjo No. 105 A - B Menteng Dalam Tebet RT.1, RT.1/RW.1, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",Jakarta Selatan,07.00,21.00,50000,100000,75000,4.2,Bakery
Clairmont Patisserie,"Jl. Tebet Raya No.54C, RT.4/RW.4, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",Jakarta Selatan,08.00,21.00,50000,100000,75000,4.8,Bakery
Tous Les Jours Kota Kasablanka,"Kota Kasablanka, Jl. Raya Casablanca No.88 Lt. LG, RT.16/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870",Jakarta Selatan,10.00,21.00,50000,100000,75000,4.5,Bakery
Larisia Bakery & Cake,"Pasar PSPT Jl. Tebet Timur Dalam Raya No.125, RT.5/RW.6, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",Jakarta Selatan,06.00,21.00,50000,100000,75000,4.5,Bakery
Monami Bakery  -  Tebet,"Jl. Tebet Raya No.35D, RT.2/RW.2, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860",Jakarta Selatan,07.30,21.00,50000,100000,75000,4.5,Bakery
Francis Artisan Bakery,"Gandaria City, Jl. Sultan Iskandar Muda No.22 - 23, RT.10/RW.6, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",Jakarta Selatan,09.30,20.30,50000,100000,75000,4.3,Bakery
Animo Bakery,"Jl. Cipete I No.6A, RT.1/RW.4, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410",Jakarta Selatan,07.00,20.00,50000,100000,75000,4.5,Bakery
Bittersweet by Najla,"Jl. Kalibata Timur Raya No.31a 9, RT.2/RW.8, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",Jakarta Selatan,07.00,22.00,50000,100000,75000,4.2,Bakery
JERIN CAKE & BAKERY,"Jl. RS. Fatmawati Raya No.43A, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430",Jakarta Selatan,07.00,20.00,50000,100000,75000,4.6,Bakery
Sophie Authentique,"Jl. Kemang Raya No.55 4, RT.4/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Jakarta Selatan,08.00,17.00,100000,200000,150000,4.4,Bakery
Dandy Bakery  -  Kemang,"Jl. Kemang Raya No.3 - 5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Jakarta Selatan,07.00,19.00,50000,100000,75000,4.4,Bakery
D'cika Cakes & Bakery Tebet,"Jl. Tebet Barat Dalam Raya No.57, RT.6/RW.4, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",Jakarta Selatan,06.00,22.00,50000,100000,75000,4.6,Bakery
Namaaz Dining,"l. Gunawarman No. 42, Senopati, Kebayoran Baru, Jakarta Selatan",Jakarta Selatan,19.00,22.00,1250000,,1250000,4.8,Restoran
Ayam Goreng Berkah,"Jl. Wijaya IX No.4, RT.4/RW.5, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,10.00,22.00,10000,50000,30000,4.6,Restoran
Agneya Restaurant,"Jl. Wijaya IX No.23 2, RT.1/RW.5, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,11.00,22.00,100000,200000,150000,4.6,Restoran
ORO Italian Restaurant Jakarta,"Jl. Kemang Raya No.2h, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Jakarta Selatan,11.00,01.00,100000,200000,150000,4.6,Restoran
Patio Venue & Dining,"Jl. Wijaya XIII No.45, RT.2/RW.5, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,11.00,22.00,100000,200000,150000,4.6,Restoran
Die Stube,"Plaza Bisnis Kemang, Jl. Kemang Raya No.2, RT.14/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Jakarta Selatan,11.00,01.00,100000,1000000,550000,4.6,Restoran
Plataran Dharmawangsa,"Jl. Dharmawangsa Raya No.6, RT.4/RW.2, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,11.00,22.00,100000,500000,300000,4.6,Restoran
Bebek Carok  -  Jakarta Selatan,"Jl. Kemang Raya No.18, RT.10/RW.5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Jakarta Selatan,08.00,04.00,5000,50000,27500,4.4,Restoran
